"level","date","state_fips","county_fips","state_code","county","pop_stay_at_home","pop_not_stay_at_home","trips","trips_1","trips_1_3","trips_3_5","trips_5_10","trips_10_25","trips_25_50","trips_50_100","trips_100_250","trips_250_500","row_id","week","trips_500","month"
"County","2019-01-01T00:00:00.000","01","01001","AL","Autauga County","9624.0","46245.0","132004.0","27097.0","35263.0","18315.0","18633.0","22963.0","5149.0","2575.0","1592.0","322.0","01-01001-20190101","0","95.0","1"
"County","2019-01-02T00:00:00.000","01","01001","AL","Autauga County","7952.0","47917.0","168463.0","36748.0","38511.0","22320.0","22722.0","35182.0","8343.0","2888.0","1393.0","289.0","01-01001-20190102","0","67.0","1"
"County","2019-01-03T00:00:00.000","01","01001","AL","Autauga County","8283.0","47586.0","190003.0","42082.0","45772.0","24837.0","28428.0","35317.0","8971.0","2985.0","1322.0","247.0","01-01001-20190103","0","42.0","1"
"County","2019-01-04T00:00:00.000","01","01001","AL","Autauga County","8126.0","47743.0","194514.0","40822.0","47814.0","28508.0","27567.0","35621.0","9698.0","2802.0","1311.0","326.0","01-01001-20190104","0","45.0","1"
"County","2019-01-05T00:00:00.000","01","01001","AL","Autauga County","8825.0","47044.0","190158.0","35518.0","47266.0","29124.0","31747.0","33886.0","7548.0","3094.0","1622.0","311.0","01-01001-20190105","0","42.0","1"
"County","2019-01-06T00:00:00.000","01","01001","AL","Autauga County","8673.0","47196.0","179888.0","32284.0","48811.0","28637.0","27926.0","30590.0","7353.0","2465.0","1521.0","270.0","01-01001-20190106","1","31.0","1"
"County","2019-01-07T00:00:00.000","01","01001","AL","Autauga County","8154.0","47715.0","214144.0","49687.0","53189.0","30149.0","29920.0","38291.0","8091.0","3061.0","1372.0","346.0","01-01001-20190107","1","38.0","1"
"County","2019-01-08T00:00:00.000","01","01001","AL","Autauga County","7998.0","47871.0","194359.0","38730.0","50492.0","26980.0","26378.0","38804.0","8712.0","2519.0","1432.0","271.0","01-01001-20190108","1","41.0","1"
"County","2019-01-09T00:00:00.000","01","01001","AL","Autauga County","8065.0","47804.0","192114.0","38473.0","48332.0","28383.0","27132.0","36647.0","8481.0","2847.0","1425.0","346.0","01-01001-20190109","1","48.0","1"
"County","2019-01-10T00:00:00.000","01","01001","AL","Autauga County","7996.0","47873.0","201549.0","40468.0","49959.0","30745.0","26870.0","40172.0","8747.0","2922.0","1381.0","249.0","01-01001-20190110","1","36.0","1"
